"lemmaId","arabic","lemma","root","partOfSpeech","phoneticKeys","occurrenceCount","firstRef","meaning","reviewStatus"
"aba-yabwa","yaEoba&uA@","yaEoba&uA@","EbA","verb","yabwa","1","25:77:3","","auto"
"abb-ab",">ab~",">ab~","Abb","noun","ab","1","80:31:2","","auto"
"abd-aabd","EaAbid","EaAbid","Ebd","noun","aabd","11","2:138:10","","auto"
"abd-aabdat","Ea`bida`t","Ea`bida`t","Ebd","adjective","aabdat","1","66:5:14","","auto"
"abd-abadt","EibaAdat","EibaAdat","Ebd","noun","abadt","9","4:172:14","","auto"
"abd-abd","Eabada","Eabada","Ebd","verb","abd","254","1:5:2","","auto"
"abd-abda",">abadFA",">abadFA","Abd","time","abda","28","2:95:3","","auto"
"abl-ababyl",">abaAbiyl",">abaAbiyl","Abl","adjective","ababyl","1","105:3:4","","auto"
"abl-ibl","<ibil","<ibil","Abl","noun","ibl","2","6:144:2","","auto"
"abq-abq",">abaqa",">abaqa","Abq","verb","abq","1","37:140:2","","auto"
"abqr-abqra","EaboqariY~","EaboqariY~","Ebqr","noun","abqra","1","55:76:5","","auto"
"abr-aabra","EaAbiriY","EaAbiriY","Ebr","noun","aabra","1","4:43:16","","auto"
"abr-abrh","Eiborap","Eiborap","Ebr","noun","abrh","6","3:13:27","","auto"
"abr-atbr","{Eotabiru","{Eotabiru","Ebr","verb","atbr","1","59:2:38","","auto"
"abr-tabr","taEoburu","taEoburu","Ebr","verb","tabr","1","12:43:24","","auto"
"abs-abs","Eabasa","Eabasa","Ebs","verb","abs","2","74:22:2","","auto"
"abs-abws","Eabuws","Eabuws","Ebs","adjective","abws","1","76:10:6","","auto"
"abth-abth","Eabav","Eabav","Ebv","noun","abth","1","23:115:4","","auto"
"abth-tabth","taEobavu","taEobavu","Ebv","verb","tabth","1","26:128:5","","auto"
"abw-ab",">abN",">abN","Abw","noun","ab","46","6:74:4","","auto"
"abw-abaa","A^baA'","A^baA'","Abw","noun","abaa","64","2:133:19","","auto"
"abw-abwan",">abawaAn",">abawaAn","Abw","noun","abwan","7","4:11:23","","auto"
"aby-aba",">abaY",">abaY","Aby","verb","aba","13","2:34:9","","auto"
"add-aad",">aEad~a",">aEad~a","Edd","verb","aad","20","2:24:12","","auto"
"add-aadyn","EaA^d~iyn","EaA^d~iyn","Edd","noun","aadyn","1","23:113:8","","auto"
"add-ad","EaD~u","EaD~u","EDD","verb","ad","11","3:119:15","","auto"
"add-add","Eadad","Eadad","Edd","noun","add","9","10:5:11","","auto"
"add-adh","Eid~ap","Eid~ap","Edd","noun","adh","12","2:184:10","","auto"
"add-id","<id~","<id~","Add","adjective","id","1","19:89:4","","auto"
"add-madwd","m~aEoduwd","m~aEoduwd","Edd","noun","madwd","1","11:104:5","","auto"
"add-madwdh","m~aEoduwdap","m~aEoduwdap","Edd","adjective","madwdh","6","2:80:7","","auto"
"add-tatd","taEotad~u","taEotad~u","Edd","verb","tatd","1","33:49:18","","auto"
"adhb-adhab","Ea*aAb","Ea*aAb","E*b","noun","adhab","322","2:7:11","","auto"
"adhb-adhb","Ea*~aba","Ea*~aba","E*b","verb","adhb","43","2:284:21","","auto"
"adhb-madhb","muEa*~ib","muEa*~ib","E*b","noun","madhb","4","7:164:11","","auto"
"adhb-madhbyn","muEa*~abiyn","muEa*~abiyn","E*b","noun","madhbyn","4","26:138:3","","auto"
"adhn-aadhn","'aA*an","'aA*an","A*n","verb","aadhn","2","21:109:4","","auto"
"adhn-adhan",">a*a`n",">a*a`n","A*n","noun","adhan","1","9:3:1","","auto"
"adhn-adhn",">u*unN",">u*unN","A*n","noun","adhn","44","2:19:12","","auto"
"adhn-idhn","<i*on","<i*on","A*n","noun","idhn","39","2:97:10","","auto"
"adhn-mwdhn","mu&a*~in","mu&a*~in","A*n","noun","mwdhn","2","7:44:22","","auto"
"adhn-stdhn","{sota_#o*ana","{sota_#o*ana","A*n","verb","stdhn","12","9:44:2","","auto"
"adhn-tadhn","ta>a*~ana","ta>a*~ana","A*n","verb","tadhn","2","7:167:2","","auto"
"adhr-adhr","Eu*or","Eu*or","E*r","noun","adhr","2","18:76:13","","auto"
"adhr-maadhyr","maEaA*iyr","maEaA*iyr","E*r","noun","maadhyr","1","75:15:3","","auto"
"adhr-madhrh","maEo*irap","maEo*irap","E*r","noun","madhrh","3","7:164:15","","auto"
"adhr-madhrwn","muEa*~iruwn","muEa*~iruwn","E*r","noun","madhrwn","1","9:90:2","","auto"
"adhr-yatdhr","yaEota*iru","yaEota*iru","E*r","verb","yatdhr","5","9:66:2","","auto"
"adhy-adha",">a*FY",">a*FY","A*y","noun","adha","9","2:196:24","","auto"
"adhy-awdha",">uw*iYa",">uw*iYa","A*y","verb","awdha","15","3:195:22","","auto"
"adl-adl","Eadol","Eadol","Edl","noun","adl","28","2:48:16","","auto"
"adl-tadl","taEoDulu","taEoDulu","EDl","verb","tadl","2","2:232:7","","auto"
"ads-ads","Eadas","Eadas","Eds","noun","ads","1","2:61:21","","auto"
"adw-aad","EaAd","EaAd","Edw","noun","aad","6","2:173:18","","auto"
"adw-aady","EaAdayo","EaAdayo","Edw","verb","aady","1","60:7:8","","auto"
"adw-aadyat","Ea`diya`t","Ea`diya`t","Edw","noun","aadyat","1","100:1:1","","auto"
"adw-adawh","Eada`wap","Eada`wap","Edw","noun","adawh","6","5:14:15","","auto"
"adw-adw","Eaduw~","Eaduw~","Edw","noun","adw","52","2:36:12","","auto"
"adw-adwan","Eudowa`n","Eudowa`n","Edw","noun","adwan","8","2:85:14","","auto"
"adw-adwh","Eudowap","Eudowap","Edw","noun","adwh","2","8:42:3","","auto"
"adw-adyn","EiDiyn","EiDiyn","EDw","noun","adyn","1","15:91:4","","auto"
"adw-atdaa","{EotadaY`","{EotadaY`","Edw","verb","atdaa","15","2:61:59","","auto"
"adw-matd","muEotad","muEotad","Edw","noun","matd","3","50:25:3","","auto"
"adw-matdyn","muEotadiyn","muEotadiyn","Edw","noun","matdyn","6","2:190:13","","auto"
"adw-yad","yaEodu","yaEodu","Edw","verb","yad","3","4:154:13","","auto"
"adw-ytad","yataEad~a","yataEad~a","Edw","verb","ytad","3","2:229:41","","auto"
"ady-adaa",">adaA^'",">adaA^'","Ady","noun","adaa","1","2:178:23","","auto"
"ady-ywd","yu&ad~i","yu&ad~i","Ady","verb","ywd","5","2:283:14","","auto"
"aff-af",">uf~",">uf~","Aff","noun","af","3","17:23:19","","auto"
"aff-taff","t~aEaf~uf","t~aEaf~uf","Eff","noun","taff","1","2:273:16","","auto"
"aff-ystaff","yasotaEofifo","yasotaEofifo","Eff","verb","ystaff","3","4:6:23","","auto"
"afk-afak",">af~aAk",">af~aAk","Afk","noun","afak","2","26:222:4","","auto"
"afk-afk",">ufika",">ufika","Afk","verb","afk","16","5:75:25","","auto"
"afk-ifk","<ifok","<ifok","Afk","noun","ifk","9","24:11:4","","auto"
"afk-mwtfkh","mu&otafikap","mu&otafikap","Afk","noun","mwtfkh","3","9:70:15","","auto"
"afl-aaflyn","'aAfiliyn","'aAfiliyn","Afl","noun","aaflyn","1","6:76:15","","auto"
"afl-afl",">afala",">afala","Afl","verb","afl","3","6:76:11","","auto"
"afq-afq",">ufuq",">ufuq","Afq","noun","afq","3","41:53:4","","auto"
"afr-afryt","Eiforiyt","Eiforiyt","Efr","noun","afryt","1","27:39:2","","auto"
"afw-aafyn","EaAfiyn","EaAfiyn","Efw","noun","aafyn","1","3:134:8","","auto"
